Year,Type,Question,Qption_A,Qption_B,Qption_C,Qption_D,Category,Marks,Answer
qp_2017_2,,"The representation of the value of a 16-bit unsigned integer X in hexadecimal number system is
BCA9. The representation of the value of Xin octal number system is",571244,736251,571247,136251,,,
qp_2017_2,,"Match the following:

(P) static char var;      (i) Sequence of memory locations to store addresses
(Q) m = malloc(10);      (ii) A variable located in data section of memory
    m = NULL;
(R) char *ptr[10];      (iii) Request to allocate a CPU register to store data
(S) register int var1; | (iv) A lost memory which cannot be freed","P &rarr; (ii), Q &rarr; (iv), R &rarr; (i), S &rarr; (iii)","P &rarr; (ii), Q &rarr; (i), R &rarr; (iv), S &rarr; (iii)","P &rarr; (ii), Q &rarr; (iv), R &rarr; (iii), S &rarr; (i)","P &rarr; (iii), Q &rarr; (iv), R &rarr; (i), S &rarr; (ii)",,,
qp_2017_2,,"Match the algorithms with their time complexities:

Algorithm                                        Time complexity
(P) Towers of Hanoi with n disks                  (i) &Theta;(n<sup>2</sup>)
(Q) Binary search given n sorted numbers         (ii) &Theta;(nlog n)
(R) Heap sort given n numbers at the worst case (iii) &Theta;(2<sup>n</sup>)
(S) Addition of two n X n matrices               (iv) &Theta;(log n)","P &rarr; (iii), Q &rarr; (iv), R &rarr; (i), S &rarr; (ii)","P &rarr; (iv), Q &rarr; (iii), R &rarr; (i), S &rarr; (ii)","P &rarr; (iii), Q &rarr; (iv), R &rarr; (ii), S &rarr; (i)","P &rarr; (iv), Q &rarr; (iii), R &rarr; (ii), S &rarr; (i)",Algorithms,,
qp_2017_2,,"Let L1, L2 be any two context-free languages and R be any regular language. Then which of the
following is/are CORRECT?

    I. L1 &cup; L2 is context-free.
   II. <span class=""above_bar"">L1</span> is context-free.
  III. L1 - R is context-free.
   IV. L1 &cap; L2 is context-free.","I, II and IV only",I and III only,II and IV only,I only,,,
qp_2017_2,,"Match the following according to input (from the left column) to the compiler phase (in the right
column) that processes it:

(P) Syntax tree                   (i) Code generator
(Q) Character stream             (ii) Syntax analyzer
(R) Intermediate representation (iii) Semantic analyzer
(S) Token stream                 (iv) Lexical analyzer","P &rarr; (ii), Q &rarr; (iii), R &rarr; (iv), S &rarr; (i)","P &rarr; (ii), Q &rarr; (i), R &rarr; (iii), S &rarr; (iv)","P &rarr; (iii), Q &rarr; (iv), R &rarr; (i), S &rarr; (ii)","P &rarr; (i), Q &rarr; (iv), R &rarr; (ii), S &rarr; (iii)",,,
qp_2017_2,,"Which of the following statements about parser is/are CORRECT?

    I. Canonical LR is more powerful than SLR.
   II. SLR is more powerful than LALR.
  III. SLR is more powerful than Canonical LR.",I only,II only,III only,II and III only,,,
qp_2017_2,,"Which of the following is/are shared by all the threads in a process?

    I. Program counter
   II. Stack
  III. Address space
   IV. Registers",I and II only,III only,IV only,III and IV only,OperatingSystem,,
qp_2017_2,,"In a file allocation system, which of the following allocation scheme(s) can be used if no external
fragmentation is allowed?

    I. Contiguous
   II. Linked
  III. Indexed",I and III only,II only,III only,II and III only,,,
qp_2017_2,,"Consider the following statements about the routing protocols. Routing Information Protocol (RIP)
and Open Shortest Path First (OSPF) in an IPv4 network.

    I: RIP uses distance vector routing
   II: RIP packets are sent using UDP
  III: OSPF packets are sent using TCP
   IV: OSPF operation is based on link-state routing

Which of the statements above are CORRECT?",I and IV only,"I, II and III only","I, II and IV only",II. III and IV only,ComputerNetworks,,
qp_2017_2,,"If f(x) = R sin(&pi;x/2) + S.f'(1/2) = &radic;2 and <sub>0</sub>&int;<sup>1</sup>f(x)dx = 2R/&pi; then the constants R and S are.
respectively",2/&pi; and 16/&pi;,2/&pi; and 0,4/&pi; and 0,4/&pi; and 16/&pi;,,,
qp_2017_2,,"Let p, q, r denote the statements ""It is raining"", ""It is cold"", and ""It is pleasant"" respectively. Then
the statement ""It is not raining and it is pleasant, and it is not pleasant only if it is raining and it is
cold"" is represented by",(&not;p &and; r) &and; (&not;r &rarr; (p &and; q)),(&not;p &and; r) &and; ((p &and; q) &rarr; &not;r),(&not;p &and; r) &or; ((p &and; q) &rarr; &not;r),(&not;p &and; r) &or; (r &rarr; (p &and; q)),,,
qp_2017_2,,"Given the following binary number in 32-bit (single precision) IEEE-754 format:

      00111110011011010000000000000000

The decimal value closest to this floating-point number is",1.45 x 10<sup>1</sup>,1.45 x 10<sup>-1</sup>,2.27 x 10<sup>-1</sup>,2.27 x 10<sup>1</sup>,,,
qp_2017_2,,"A circular queue has been implemented using a singly linked list where each node consists of a
value and a single pointer pointing to the next node. We maintain exactly two external pointers
FRONT and REAR pointing to the front node and the rear node of the queue. respectively. Which of
the following statements is/are CORRECT for such a circular queue. so that insertion and deletion
operations can be performed in O(1) time?

  I. Next pointer of front node points to the rear node.
 II. Next pointer of rear node points to the front node.",I only,II only,Both I and II,Neither I nor II,,,
qp_2017_2,,"Consider the following function implemented in C:

<code>
void printxy(int x, int y) {
    int *ptr;
    x = 0;
    ptr = &x;
    y = *ptr;
    *ptr = 1;
    printf(""%d,%d"", x, y);
}
</code>

The output of invoking printxy(1,1) is","0, 0","0, 1","1, 0","1, 1",,,
qp_2017_2,,"The Breadth First Search (BFS) algorithm has been implemented using the queue data structure.
Which one of the following is a possible order of visiting the nodes in the graph below?

<img src=""img/2017_2_15.png"" width=""100px"" height=""100px"" />",MNOPQR,NQMPOR,QMNROP,POQNMR,,,
qp_2017_2,,"Identify the language generated by the following grammar. where S is the start variable.

    S &rarr; XY
    X &rarr; aX | a
    Y &rarr; aYb | &epsilon;","{a<sup>m</sup>b<sup>n</sup> | m &ge; n, n > 0}","{a<sup>m</sup>b<sup>n</sup> | m &ge; n, n &ge; 0}","{a<sup>m</sup>b<sup>n</sup> | m > n, n &ge; 0}","{a<sup>m</sup>b<sup>n</sup> | m > n, n > 0}",,,
qp_2017_2,,"An ER model of a database consists of entity types A and B. These are connected by a relationship
R which does not have its own attribute. Under which one of the following conditions, can the
relational table for R be merged with that of A?",Relationship R is one-to-many and the participation of A in R is total.,Relationship R is one-to-many and the participation of A in R is partial.,Relationship R is many-to-one and the participation of A in R is total.,Relationship R is many-to-one and the participation of A in R is partial.,,,
qp_2017_2,,"Consider socket API on a Linux machine that supports connected UDP sockets. A connected UDP
socket is a UDP socket on which connect function has already been called. Which of the
following statements is/are CORRECT?

  I. A connected UDP socket can be used to communicate with multiple peers
     simultaneously.
 II. A process can successfully call connect function again for an already connected UDP
     socket.",I only,II only,Both I and II,Neither I nor II,,,
qp_2017_2,,"Consider the following tables T1 and T2.

   T1      T2
  P  Q    R  S
  2  2    2  2
  3  8    8  3
  7  3    3  2
  5  8    9  7
  6  9    5  7
  8  5    7  2
  9  8
  
In table T1, P is the primary key and Q is the foreign key referencing R in table T2 with on-delete
cascade and on-update cascade. In table T2. R is the primary key and S is the foreign key
referencing P in table T1 with on-delete set NULL and on-update cascade. In order to delete record
(3,8) from table T1, the number of additional records that need to be deleted from table T1 is ____.",,,,,,,
qp_2017_2,,"The maximum number of IPv4 router addresses that can be listed in the record route (RR) option
field of an IPv4 header is ____ .",,,,,,,
qp_2017_2,,"Consider the set X = {a, b, c, d, e} under the partial ordering

R = {(a,a), (a,b), (a,c), (a.d), (a,e), (b,b), (b,c), (b,e), (c,c), (c,e), (d,d), (d,e), (e,e)} .

The Hasse diagram of the partial order (X, R) is shown below.

<img src=""img/2017_2_21.png"" width=""100px"" height=""100px"" />

The minimum number of ordered pairs that need to be added to R to make (X, R) a lattice
is ____.",,,,,,,
qp_2017_2,,"        [1 1 -1]         [-1 -2 -1]
Let P = [2 -3 4] and Q = [6  12  6]
        [3 -2 3]         [5  10  5]

Then the rank of P + Q is ____.",,,,,,,
qp_2017_2,,"G is an undirected graph with n vertices and 25 edges such that each vertex of G has degree at least
3. Then the maximum possible value of n is ____ .",,,,,,,
